"exposure_model","term","estimate","std_error","statistic","df","p_value","conf_low","conf_high"
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","smoking_statusCurrent",-0.038,0.043,-0.883,2207.2,"0.378",-0.121,0.046
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","pa_levels_tertile_f1Medium",-0.008,0.044,-0.178,679.4,"0.859",-0.093,0.078
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","pa_levels_tertile_f1High",0.101,0.046,2.185,835.3,"0.029",0.01,0.193
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","diabetes_statusDiabetes",0.083,0.04,2.056,1109,"0.04",0.004,0.161
"ALM_HT2_harmonised___fermented_100g__linear______main_coefs","sumtot1_scaled",-0.031,0.016,-1.927,320.5,"0.055",-0.062,0.001
"ALM_HT2_harmonised___highfat_100g__linear______main_coefs","(Intercept)",6.195,0.056,110.942,2030.8,"<0.001",6.085,6.304
"ALM_HT2_harmonised___highfat_100g__linear______main_coefs","highfat_100g",0.007,0.009,0.789,1154.5,"0.43",-0.011,0.026
"ALM_HT2_harmonised___highfat_100g__linear______main_coefs","time_since_baseline",-0.051,0.002,-27.694,246.2,"<0.001",-0.055,-0.047
"ALM_HT2_harmonised___highfat_100g__linear______main_coefs","age_at_baseline_scaled",-0.127,0.024,-5.353,2896.5,"<0.001",-0.174,-0.081
"ALM_HT2_harmonised___highfat_100g__linear______main_coefs","BMI_categoryUnderweight",-0.336,0.067,-4.981,2901.6,"<0.001",-0.468,-0.204
"ALM_HT2_harmonised___highfat_100g__linear______main_coefs","BMI_categoryOverweight",0.435,0.023,18.756,804.4,"<0.001",0.389,0.48
